education_score,coastal_detailed,town_size,coastal_type
-0.533750422,Smaller non-coastal town,Small,Non-coastal
1.952018749,Smaller non-coastal town,Small,Non-coastal
-1.044127985,Smaller non-coastal town,Small,Non-coastal
-1.249261949,Smaller non-coastal town,Small,Non-coastal
-1.169078452,Smaller non-coastal town,Small,Non-coastal
0.84513109,Smaller non-coastal town,Small,Non-coastal
-3.717919688,Smaller non-coastal town,Small,Non-coastal
-2.171307159,Large non-coastal town,Large,Non-coastal
6.437661398,Smaller non-coastal town,Small,Non-coastal
0.29540337,Smaller non-coastal town,Small,Non-coastal
4.304494117,Smaller non-coastal town,Small,Non-coastal
-4.001866891,Smaller non-coastal town,Small,Non-coastal
-5.023115005,Smaller seaside town,Small,Seaside
-1.26838592,Smaller non-coastal town,Small,Non-coastal
-1.264372252,Smaller non-coastal town,Small,Non-coastal
-0.718396082,Smaller non-coastal town,Small,Non-coastal
-4.061010691,Smaller non-coastal town,Small,Non-coastal
0.742113567,Smaller non-coastal town,Small,Non-coastal
0.263105429,Large non-coastal town,Large,Non-coastal
1.608629917,Smaller non-coastal town,Small,Non-coastal
-3.9569896,Smaller non-coastal town,Small,Non-coastal
-7.090910923,Smaller seaside town,Small,Seaside
1.381818433,Smaller non-coastal town,Small,Non-coastal
0.183946279,Large seaside town,Large,Seaside
-3.813706933,Smaller non-coastal town,Small,Non-coastal
1.419986073,Smaller seaside town,Small,Seaside
-0.309563755,Smaller non-coastal town,Small,Non-coastal
-0.955169026,Smaller non-coastal town,Small,Non-coastal
3.999734957,Smaller non-coastal town,Small,Non-coastal
-6.163408673,Smaller non-coastal town,Small,Non-coastal
-4.268131254,Smaller non-coastal town,Small,Non-coastal
3.860304863,Smaller non-coastal town,Small,Non-coastal
-0.241286848,Smaller non-coastal town,Small,Non-coastal
2.763057391,Large non-coastal town,Large,Non-coastal
-2.564226331,Large non-coastal town,Large,Non-coastal
6.610611497,Smaller non-coastal town,Small,Non-coastal
-0.513536679,Smaller non-coastal town,Small,Non-coastal
-6.01236232,Smaller non-coastal town,Small,Non-coastal
-0.164720472,Smaller non-coastal town,Small,Non-coastal
-6.371799113,Smaller non-coastal town,Small,Non-coastal
-3.325032651,Large seaside town,Large,Seaside
6.357287162,Smaller non-coastal town,Small,Non-coastal
-1.812283999,Smaller non-coastal town,Small,Non-coastal
3.362878498,Smaller non-coastal town,Small,Non-coastal
-1.970367969,Smaller non-coastal town,Small,Non-coastal
5.804185058,Smaller non-coastal town,Small,Non-coastal
-2.847094207,Smaller seaside town,Small,Seaside
-3.297142446,Large non-coastal town,Large,Non-coastal
5.628841984,Smaller non-coastal town,Small,Non-coastal
-3.141037157,Large seaside town,Large,Seaside
-1.985380107,Large non-coastal town,Large,Non-coastal
-2.899667069,Smaller non-coastal town,Small,Non-coastal
3.507476118,Smaller non-coastal town,Small,Non-coastal
3.418697624,Smaller non-coastal town,Small,Non-coastal
-0.550202426,Smaller non-coastal town,Small,Non-coastal
-3.92266164,Large non-coastal town,Large,Non-coastal
6.657041755,Smaller non-coastal town,Small,Non-coastal
3.806320645,Smaller non-coastal town,Small,Non-coastal
9.95812099,Large non-coastal town,Large,Non-coastal
0.193445297,Smaller non-coastal town,Small,Non-coastal
1.220084116,Large non-coastal town,Large,Non-coastal
1.573747159,Smaller seaside town,Small,Seaside
2.12673052,Smaller non-coastal town,Small,Non-coastal
-1.853352661,Large non-coastal town,Large,Non-coastal
3.747497559,Large non-coastal town,Large,Non-coastal
2.319207046,Large seaside town,Large,Seaside
3.299333602,Smaller non-coastal town,Small,Non-coastal
1.190595416,Smaller non-coastal town,Small,Non-coastal
-2.147693195,Smaller non-coastal town,Small,Non-coastal
-2.829698506,Large non-coastal town,Large,Non-coastal
1.749858286,Smaller non-coastal town,Small,Non-coastal
-2.967170753,Smaller non-coastal town,Small,Non-coastal
4.608072865,Smaller non-coastal town,Small,Non-coastal
-1.469337199,Smaller non-coastal town,Small,Non-coastal
3.528191799,Smaller non-coastal town,Small,Non-coastal
-4.105393361,Smaller non-coastal town,Small,Non-coastal
4.578194903,Smaller non-coastal town,Small,Non-coastal
3.808250711,Smaller non-coastal town,Small,Non-coastal
7.015299545,Smaller non-coastal town,Small,Non-coastal
-2.941145442,Smaller seaside town,Small,Seaside
-0.068426354,Smaller non-coastal town,Small,Non-coastal
1.187961052,Smaller non-coastal town,Small,Non-coastal
1.241814934,Smaller seaside town,Small,Seaside
3.11249282,Smaller non-coastal town,Small,Non-coastal
-0.715392574,Smaller other coastal town,Small,Other coastal
1.067191916,Smaller non-coastal town,Small,Non-coastal
1.792829385,Smaller non-coastal town,Small,Non-coastal
5.494822908,Smaller non-coastal town,Small,Non-coastal
-2.936731906,Smaller other coastal town,Small,Other coastal
2.148885342,Smaller non-coastal town,Small,Non-coastal
2.840554708,Smaller non-coastal town,Small,Non-coastal
1.13237635,Smaller other coastal town,Small,Other coastal
2.288312691,Smaller non-coastal town,Small,Non-coastal
-0.320502188,Smaller non-coastal town,Small,Non-coastal
4.63527406,Smaller non-coastal town,Small,Non-coastal
-1.4375767,Smaller non-coastal town,Small,Non-coastal
-0.357764516,Smaller non-coastal town,Small,Non-coastal
-2.483771314,Smaller non-coastal town,Small,Non-coastal
1.589070877,Smaller non-coastal town,Small,Non-coastal
1.134955613,Smaller non-coastal town,Small,Non-coastal
-0.8318962,Smaller seaside town,Small,Seaside
-6.040882817,Smaller non-coastal town,Small,Non-coastal
2.976086637,Smaller non-coastal town,Small,Non-coastal
-5.454821634,Smaller non-coastal town,Small,Non-coastal
3.951416094,Large other coastal town,Large,Other coastal
1.821911821,Smaller non-coastal town,Small,Non-coastal
2.542777863,Smaller non-coastal town,Small,Non-coastal
5.867008254,Smaller non-coastal town,Small,Non-coastal
8.266077082,Smaller non-coastal town,Small,Non-coastal
-4.036973003,Smaller seaside town,Small,Seaside
4.983969265,Large non-coastal town,Large,Non-coastal
1.30782494,Smaller non-coastal town,Small,Non-coastal
0.094829376,Smaller non-coastal town,Small,Non-coastal
-2.346464836,Smaller non-coastal town,Small,Non-coastal
2.198211806,Smaller non-coastal town,Small,Non-coastal
-0.775947056,Smaller non-coastal town,Small,Non-coastal
0.866802687,Smaller non-coastal town,Small,Non-coastal
7.657705361,Smaller non-coastal town,Small,Non-coastal
4.100819556,Smaller non-coastal town,Small,Non-coastal
1.29274296,Smaller non-coastal town,Small,Non-coastal
-0.393862219,Smaller non-coastal town,Small,Non-coastal
-2.585601614,Smaller non-coastal town,Small,Non-coastal
-3.049247235,Smaller non-coastal town,Small,Non-coastal
-3.532408517,Smaller non-coastal town,Small,Non-coastal
-4.033132508,Smaller non-coastal town,Small,Non-coastal
-4.980575217,Large non-coastal town,Large,Non-coastal
5.056930313,Smaller non-coastal town,Small,Non-coastal
-3.336777929,Smaller non-coastal town,Small,Non-coastal
2.036418475,Smaller non-coastal town,Small,Non-coastal
0.045950752,Smaller non-coastal town,Small,Non-coastal
-1.362611073,Smaller non-coastal town,Small,Non-coastal
-0.372545744,Smaller non-coastal town,Small,Non-coastal
3.287213662,Smaller non-coastal town,Small,Non-coastal
8.52407035,Smaller non-coastal town,Small,Non-coastal
2.742343958,Smaller non-coastal town,Small,Non-coastal
-4.090837485,Smaller non-coastal town,Small,Non-coastal
-4.708610354,Large other coastal town,Large,Other coastal
-3.130722094,Large non-coastal town,Large,Non-coastal
5.98289748,Smaller non-coastal town,Small,Non-coastal
6.668239188,Large non-coastal town,Large,Non-coastal
-9.79178081,Smaller seaside town,Small,Seaside
0.005535486,Smaller non-coastal town,Small,Non-coastal
-2.510765203,Large non-coastal town,Large,Non-coastal
4.545060749,Smaller non-coastal town,Small,Non-coastal
4.080634357,Smaller non-coastal town,Small,Non-coastal
0.040913958,Smaller non-coastal town,Small,Non-coastal
-5.341426577,Smaller non-coastal town,Small,Non-coastal
-2.329007892,Smaller non-coastal town,Small,Non-coastal
-1.183723077,Smaller seaside town,Small,Seaside
-3.329351471,Smaller non-coastal town,Small,Non-coastal
-0.056459409,Smaller non-coastal town,Small,Non-coastal
-0.543272318,Smaller non-coastal town,Small,Non-coastal
0.274798841,Smaller non-coastal town,Small,Non-coastal
6.420747235,Large non-coastal town,Large,Non-coastal
7.796484011,Large non-coastal town,Large,Non-coastal
0.082611978,Smaller non-coastal town,Small,Non-coastal
6.56252782,Smaller non-coastal town,Small,Non-coastal
-2.055701844,Smaller other coastal town,Small,Other coastal
-4.694684002,Smaller seaside town,Small,Seaside
1.715773536,Smaller non-coastal town,Small,Non-coastal
1.230205901,Smaller non-coastal town,Small,Non-coastal
-3.326532717,Smaller non-coastal town,Small,Non-coastal
0.645531654,Smaller non-coastal town,Small,Non-coastal
2.955442566,Smaller non-coastal town,Small,Non-coastal
-4.46402942,Smaller non-coastal town,Small,Non-coastal
-0.124779673,Smaller other coastal town,Small,Other coastal
-1.519621899,Large non-coastal town,Large,Non-coastal
-2.566804564,Large non-coastal town,Large,Non-coastal
2.191094304,Smaller non-coastal town,Small,Non-coastal
-2.411504279,Smaller non-coastal town,Small,Non-coastal
-0.980249672,Smaller non-coastal town,Small,Non-coastal
1.465412296,Smaller non-coastal town,Small,Non-coastal
-0.334002038,Large non-coastal town,Large,Non-coastal
-5.084834842,Large non-coastal town,Large,Non-coastal
0.537506979,Smaller non-coastal town,Small,Non-coastal
6.233039216,Large non-coastal town,Large,Non-coastal
-6.357467729,Large other coastal town,Large,Other coastal
-1.749072267,Smaller non-coastal town,Small,Non-coastal
10.77155677,Smaller non-coastal town,Small,Non-coastal
4.403636341,Smaller non-coastal town,Small,Non-coastal
-0.800938807,Large non-coastal town,Large,Non-coastal
-2.660956487,Smaller non-coastal town,Small,Non-coastal
-0.038425825,Smaller seaside town,Small,Seaside
4.609741018,Smaller non-coastal town,Small,Non-coastal
2.879243467,Smaller non-coastal town,Small,Non-coastal
-6.207951854,Smaller non-coastal town,Small,Non-coastal
-0.421589109,Large seaside town,Large,Seaside
-6.653926141,Smaller non-coastal town,Small,Non-coastal
6.774061908,Smaller non-coastal town,Small,Non-coastal
2.179427199,Smaller non-coastal town,Small,Non-coastal
1.457590086,Smaller non-coastal town,Small,Non-coastal
-6.915157397,Smaller non-coastal town,Small,Non-coastal
-1.764391177,Smaller non-coastal town,Small,Non-coastal
-4.352786938,Large non-coastal town,Large,Non-coastal
-4.05910281,Smaller non-coastal town,Small,Non-coastal
-4.049786694,Smaller non-coastal town,Small,Non-coastal
3.181615951,Smaller non-coastal town,Small,Non-coastal
-1.466742587,Smaller non-coastal town,Small,Non-coastal
-6.711417914,Smaller non-coastal town,Small,Non-coastal
-2.805766898,Smaller non-coastal town,Small,Non-coastal
1.023815376,Large non-coastal town,Large,Non-coastal
1.321650638,Smaller non-coastal town,Small,Non-coastal
7.172221185,Smaller non-coastal town,Small,Non-coastal
0.701730546,Smaller seaside town,Small,Seaside
5.649712778,Smaller non-coastal town,Small,Non-coastal
0.599919251,Smaller non-coastal town,Small,Non-coastal
10.74972706,Smaller non-coastal town,Small,Non-coastal
2.585660421,Smaller non-coastal town,Small,Non-coastal
2.021652879,Smaller non-coastal town,Small,Non-coastal
-3.750785762,Large non-coastal town,Large,Non-coastal
3.951955622,Smaller non-coastal town,Small,Non-coastal
3.730134,Smaller non-coastal town,Small,Non-coastal
3.283891891,Smaller non-coastal town,Small,Non-coastal
-1.06055732,Smaller non-coastal town,Small,Non-coastal
2.456561847,Smaller non-coastal town,Small,Non-coastal
-4.474723195,Smaller seaside town,Small,Seaside
0.559264105,Smaller seaside town,Small,Seaside
-0.395280266,Smaller seaside town,Small,Seaside
-3.147683679,Smaller seaside town,Small,Seaside
-1.482598265,Large non-coastal town,Large,Non-coastal
-9.622821465,Smaller seaside town,Small,Seaside
-2.13977095,Smaller seaside town,Small,Seaside
-4.418054903,Smaller non-coastal town,Small,Non-coastal
-2.725592731,Smaller non-coastal town,Small,Non-coastal
2.153188205,Smaller non-coastal town,Small,Non-coastal
1.709309858,Smaller non-coastal town,Small,Non-coastal
2.174353696,Large non-coastal town,Large,Non-coastal
1.821299858,Smaller non-coastal town,Small,Non-coastal
-3.872906722,Smaller other coastal town,Small,Other coastal
-0.383765608,Smaller non-coastal town,Small,Non-coastal
8.134159931,Smaller non-coastal town,Small,Non-coastal
-4.173643774,Large non-coastal town,Large,Non-coastal
0.574837261,Large non-coastal town,Large,Non-coastal
3.081454678,Smaller non-coastal town,Small,Non-coastal
3.790062821,Smaller non-coastal town,Small,Non-coastal
8.279432291,Smaller non-coastal town,Small,Non-coastal
-2.606345723,Smaller non-coastal town,Small,Non-coastal
2.545779792,Smaller non-coastal town,Small,Non-coastal
2.03595631,Smaller non-coastal town,Small,Non-coastal
0.650819418,Smaller non-coastal town,Small,Non-coastal
-1.702726769,Smaller non-coastal town,Small,Non-coastal
-6.794033365,Smaller non-coastal town,Small,Non-coastal
7.11604934,Smaller non-coastal town,Small,Non-coastal
-1.359109482,Smaller other coastal town,Small,Other coastal
-2.459003441,Smaller non-coastal town,Small,Non-coastal
-0.295070798,Smaller non-coastal town,Small,Non-coastal
-0.632590012,Smaller non-coastal town,Small,Non-coastal
2.400008357,Smaller non-coastal town,Small,Non-coastal
0.01403388,Smaller non-coastal town,Small,Non-coastal
-4.450589183,Large other coastal town,Large,Other coastal
4.888089933,Smaller non-coastal town,Small,Non-coastal
1.12736806,Smaller non-coastal town,Small,Non-coastal
-1.868861258,Smaller non-coastal town,Small,Non-coastal
-4.391985684,Smaller seaside town,Small,Seaside
-2.61264338,Smaller non-coastal town,Small,Non-coastal
-3.828427778,Smaller non-coastal town,Small,Non-coastal
2.081328337,Smaller non-coastal town,Small,Non-coastal
-2.251562259,Smaller seaside town,Small,Seaside
-0.110993506,Smaller non-coastal town,Small,Non-coastal
-3.048500521,Smaller non-coastal town,Small,Non-coastal
-2.599414593,Smaller non-coastal town,Small,Non-coastal
0.242248857,Smaller non-coastal town,Small,Non-coastal
1.129926322,Smaller non-coastal town,Small,Non-coastal
0.998725151,Smaller non-coastal town,Small,Non-coastal
-1.054967497,Smaller non-coastal town,Small,Non-coastal
-3.735958141,Smaller non-coastal town,Small,Non-coastal
5.915880633,Smaller non-coastal town,Small,Non-coastal
4.118350123,Smaller non-coastal town,Small,Non-coastal
5.522860023,Smaller non-coastal town,Small,Non-coastal
3.980502734,Smaller non-coastal town,Small,Non-coastal
